ID,Language_ID,English_Gloss,Form,Inflected_Forms,Comment,Source
lote1237-1-200,lote1237-1,here (proximal demonstrative),lamai,,"close to speaker; cf. /lai/, /koi/",Barlow2024
lote1237-1-201,lote1237-1,there (medial demonstrative),lamam,,"close to hearer; cf. /la/, /kau/",Barlow2024
lote1237-1-202,lote1237-1,"there, yonder (distal demonstrative)",lamau,,far from both speaker and hearer; cf. /kou/,Barlow2024
lote1237-1-203,lote1237-1,"fly, housefly",laŋo,,,Barlow2024
lote1237-1-204,lote1237-1,"march fly, blowfly",laŋo xɛrxɛra,,‘fly blue/green’,Barlow2024
lote1237-1-205,lote1237-1,irrealis marker (IRR),lape,,preverbal; also /pe/,Barlow2024
lote1237-1-206,lote1237-1,arecoid palm sp. (TP: limbum),lapia,,"cf. /pola/, a different species",Barlow2024
lote1237-1-207,lote1237-1,rotten,lapusa,,,Barlow2024
lote1237-1-208,lote1237-1,to catch,lau,lau-a,also /sihɛ/,Barlow2024
lote1237-1-209,lote1237-1,"to bake, to cook in an earth oven (TP: mumuim)",lel,lel-ɛ,"cf. /mak/ ‘to burn (person as subject), to cook (with fire)’, /tun/ ‘to boil’",Barlow2024
lote1237-1-210,lote1237-1,to flow (of a river),lele,,reduplication?,Barlow2024
lote1237-1-211,lote1237-1,smooth,lelemo,,possibly related to /lele/ ‘to flow’; reduplication?; also /sasanix/,Barlow2024
lote1237-1-212,lote1237-1,to build,lelɛ,,"possibly /lel-ɛ/; possibly the same form as /lel/ ‘to bake, to cook in an earth oven (TP: mumuim)’; cf. /umɛ/ ‘to work, to build’, /po/ ‘to do, to make’",Barlow2024
lote1237-1-213,lote1237-1,to carve,les,les-ia,cf. /raluɛ/ ‘to carve (a canoe)’,Barlow2024
lote1237-1-214,lote1237-1,inside,lete-,"lete-m (2sg), lete-na (3sg)","cf. /teu/ ‘inside; to go in, to go inside, to enter’",Barlow2024
lote1237-1-215,lote1237-1,to think,lete- matana,lete-m mata-na (2sg),"‘inside-POSS eye-3SG’; also /lete- tuanin/, /tuanin/",Barlow2024
lote1237-1-216,lote1237-1,to think,lete- tuanin,lete-na tuanin (3sg),"‘inside-POSS think’; also /lete- matana/, /tuanin/",Barlow2024
lote1237-1-217,lote1237-1,general possessive classifier (POSS.GEN),lɛ-,"lɛ-k (1sg), lɛ-m (2sg), na (3sg), nɛ (3sg), nena (3sg)","used in indirect possession constructions; follows the possessor (genitive) and precedes the possessum (possessed); takes a possessive suffix indexing the person/number of the possessor; used with possessions that are not food- or drink-related; allomorphs for 3sg possessors: /na/, /nena/",Barlow2024
lote1237-1-218,lote1237-1,to fly,lɛhɛ,lɛ~lɛhɛ (reduplication),,Barlow2024
